"id","filename","sample","object","window","method","mag","scans","res","pix.x","pix.y","pix.total","wn.min","wn.max","wn.target","min.abs","max.abs","threshold.abs","threshold.pixels","absorbance.threshold","absorbance.threshold.value","state","dataset"
"s001","hft0_atr_64s_4cm_r01.dat","HFT0","r01","None","ATR","Norm",64,4,64,64,4096,948.81,4001.57,1512,-0.033,0.043,0.038,4037,0.3,-0.0557879,"State 1","Core"
"s002","hft0_atr_64s_4cm_r02.dat","HFT0","r02","None","ATR","Norm",64,4,64,64,4096,948.81,4001.57,1512,-0.027,0.044,0.035,3868,0.3,-0.0402775,"State 1","Core"
"s003","hft0_atr_64s_4cm_r03.dat","HFT0","r03","None","ATR","Norm",64,4,64,64,4096,948.81,4001.57,1512,-0.023,0.039,0.031,3972,0.3,-0.0381037,"State 1","Core"
"s004","hft0_atr_64s_4cm_r04.dat","HFT0","r04","None","ATR","Norm",64,4,64,64,4096,948.81,4001.57,1512,-0.03,0.047,0.038,4051,0.3,-0.049574,"State 1","Core"
"s005","hft0_atr_64s_4cm_r05.dat","HFT0","r05","None","ATR","Norm",64,4,64,64,4096,948.81,4001.57,1512,-0.025,0.034,0.03,3909,0.3,-0.0346756,"State 1","Core"
"s006","hft0_atr_64s_4cm_r05a.dat","HFT0","r05a","None","ATR","Norm",64,4,64,64,4096,948.81,4001.57,1512,-0.035,0.035,0.035,3940,0.3,-0.0487715,"State 1","Core"
"s053","hft0_atr_64s_4cm_r06.dat","HFT0","r06","None","ATR","Norm",64,4,64,64,4096,948.81,4001.57,1512,-0.023,0.061,0.042,4009,0.3,-0.0454687,"State 1","Core"
"s054","hft0_atr_64s_4cm_r07.dat","HFT0","r07","None","ATR","Norm",64,4,64,64,4096,948.81,4001.57,1512,-0.036,0.048,0.042,3792,0.3,-0.0570164,"State 1","Core"
"s055","hft0_atr_64s_4cm_r08.dat","HFT0","r08","None","ATR","Norm",64,4,64,64,4096,948.81,4001.57,1512,-0.04,0.03,0.035,3933,0.3,-0.0364142,"State 1","Core"
"s056","hft0_atr_64s_4cm_r08a.dat","HFT0","r08a","None","ATR","Norm",64,4,64,64,4096,948.81,4001.57,1512,-0.041,0.039,0.04,3912,0.3,-0.0401053,"State 1","Core"
"s057","hft0_atr_64s_4cm_r09.dat","HFT0","r09","None","ATR","Norm",64,4,64,64,4096,948.81,4001.57,1512,-0.049,0.042,0.046,3907,0.3,-0.0576701,"State 1","Core"
"s008","hft150act_atr_64s_4cm_r01a.dat","HFT150","r01a","None","ATR","Norm",64,4,64,64,4096,948.81,4001.57,1512,-0.029,0.036,0.032,3993,0.3,-0.0466663,"State 1","Core"
"s009","hft150act_atr_64s_4cm_r02.dat","HFT150","r02","None","ATR","Norm",64,4,64,64,4096,948.81,4001.57,1512,-0.034,0.041,0.037,4005,0.3,-0.0582827,"State 1","Core"
"s010","hft150act_atr_64s_4cm_r03.dat","HFT150","r03","None","ATR","Norm",64,4,64,64,4096,948.81,4001.57,1512,-0.02,0.042,0.031,4016,0.3,-0.0430047,"State 1","Core"
"s011","hft150act_atr_64s_4cm_r04.dat","HFT150","r04","None","ATR","Norm",64,4,64,64,4096,948.81,4001.57,1512,-0.022,0.053,0.038,3990,0.3,-0.0327359,"State 1","Core"
"s012","hft150act_atr_64s_4cm_r05.dat","HFT150","r05","None","ATR","Norm",64,4,64,64,4096,948.81,4001.57,1512,-0.033,0.045,0.039,4034,0.3,-0.0568918,"State 1","Core"
"s013","hft150act_atr_64s_4cm_r06.dat","HFT150","r06","None","ATR","Norm",64,4,64,64,4096,948.81,4001.57,1512,-0.053,0.049,0.051,3990,0.3,-0.0859679,"State 1","Core"
"s014","hft150act_atr_64s_4cm_r07.dat","HFT150","r07","None","ATR","Norm",64,4,64,64,4096,948.81,4001.57,1512,-0.032,0.05,0.041,3974,0.3,-0.0529764,"State 1","Core"
"s015","hft150act_atr_64s_4cm_r08.dat","HFT150","r08","None","ATR","Norm",64,4,64,64,4096,948.81,4001.57,1512,-0.032,0.049,0.041,3973,0.3,-0.0507538,"State 1","Core"
"s016","hft150act_atr_64s_4cm_r09.dat","HFT150","r09","None","ATR","Norm",64,4,64,64,4096,948.81,4001.57,1512,-0.029,0.049,0.039,4015,0.3,-0.0424548,"State 1","Core"
"s019","hft175_atr_64s_4cm_r04.dat","HFT175","r04","None","ATR","Norm",64,4,64,64,4096,948.81,4001.57,1512,-0.028,0.041,0.034,4021,0.3,-0.0497946,"State 1","Core"
"s020","hft175_atr_64s_4cm_r05.dat","HFT175","r05","None","ATR","Norm",64,4,64,64,4096,948.81,4001.57,1512,-0.022,0.048,0.035,3890,0.3,-0.0421786,"State 1","Core"
"s021","hft175_atr_64s_4cm_r06.dat","HFT175","r06","None","ATR","Norm",64,4,64,64,4096,948.81,4001.57,1512,-0.028,0.043,0.035,3969,0.3,-0.0413003,"State 1","Core"
"s022","hft175_atr_64s_4cm_r07.dat","HFT175","r07","None","ATR","Norm",64,4,64,64,4096,948.81,4001.57,1512,-0.017,0.036,0.027,3985,0.3,-0.0319711,"State 1","Core"
"s023","hft175_atr_64s_4cm_r08.dat","HFT175","r08","None","ATR","Norm",64,4,64,64,4096,948.81,4001.57,1512,-0.033,0.045,0.039,4023,0.3,-0.0498973,"State 1","Core"
