"Sample","Spore_rep","R","G","B","Y","PDI","Temp","Taxon"
"Lyco200",1,193,198,162,224.910768957871,11.7996984478936,200,"Lycopodium"
"Lyco200",2,194,203,160,228.3447563932,10.4530367085489,200,"Lycopodium"
"Lyco200",3,193,196,142,220.937508351811,13.357839862035,200,"Lycopodium"
"Lyco200",4,190,201,160,225.526515742794,11.558229120473,200,"Lycopodium"
"Lyco200",5,192,199,146,223.089926977088,12.5137541266322,200,"Lycopodium"
"Lyco200",6,189,193,160,219.832455580192,13.7911938901207,200,"Lycopodium"
"Lyco200",7,194,188,134,214.930210938655,15.713642769155,200,"Lycopodium"
"Lyco200",8,194,193,165,222.352771544715,12.8028346883469,200,"Lycopodium"
"Lyco200",9,180,186,142,209.449792904656,17.8628263118995,200,"Lycopodium"
"Lyco200",10,194,190,157,219.299880635625,14.000046809559,200,"Lycopodium"
"Lyco200",11,186,205,148,225.114238728751,11.719906380882,200,"Lycopodium"
"Lyco200",12,196,203,152,228.031519142646,10.5758748460212,200,"Lycopodium"
"Lyco200",13,185,206,147,225.275442202513,11.6566893323479,200,"Lycopodium"
"Lyco200",14,194,195,152,221.965532150776,12.9546932742055,200,"Lycopodium"
"Lyco200",15,189,198,158,222.894516186253,12.5903858093126,200,"Lycopodium"
"Lyco200",16,181,201,144,220.064992461197,13.7000029563932,200,"Lycopodium"
"Lyco200",17,182,196,171,220.678267775314,13.4595028332102,200,"Lycopodium"
"Lyco200",18,197,192,152,221.085512638581,13.2997989652624,200,"Lycopodium"
"Lyco200",19,186,189,171,217.509108425721,14.702310421286,200,"Lycopodium"
"Lyco200",20,194,203,162,228.609029120473,10.3494003449125,200,"Lycopodium"
"Lyco200",21,200,208,155,233.241968883962,8.53256122197584,200,"Lycopodium"
"Lyco200",22,195,204,174,231.231858980044,9.32083961566889,200,"Lycopodium"
"Lyco200",23,180,212,156,228.596635328899,10.3542606553338,200,"Lycopodium"
"Lyco200",24,196,201,165,228.418758536585,10.4240162601626,200,"Lycopodium"
"Lyco200",25,182,197,131,216.058079896526,15.2713412170485,200,"Lycopodium"
"Lyco200",26,192,200,156,225.076557280118,11.7346834195615,200,"Lycopodium"
"Lyco200",27,197,187,167,219.741224759793,13.8269706824341,200,"Lycopodium"
