Temp,WeightLoss,Perc_H,Perc_O,Perc_C,Kal,Karo,Kali2aro,K1710,K1630,Kbrb,KOH,IC-OR
25,0,7.86,28.1,60.5,39.6,2.3,17.2173913,18.2,11.5,121,169,19
250,7,8.05,27.1,63.8,40.6,1.8,22.55555556,19.4,8.3,116,115,17
330,22,8.08,19.2,71.8,43.8,1.6,27.375,21.9,9.9,101,66,8
350,28,,,,45.2,1.8,25.11111111,23.1,11.1,88,49,
375,35,8.09,12.7,78.3,46.1,2.3,20.04347826,21.5,12,74,32,2
385,38,,,,49.8,3.5,14.22857143,20.8,12.2,72,23,
395,40,,,,50.8,3,16.93333333,19.6,12.5,62,24,
410,50,,,,45.2,5.9,7.661016949,11.8,12,59,18,
415,52,7.54,8.9,82.9,49.8,5.6,8.892857143,9.2,11.1,59,21,4
470,77.7,5.24,5.2,89.1,12.4,9,1.377777778,,8.3,74,38,5
520,79.6,,,,3.7,3.5,1.057142857,,3.9,33,22,
620,81,,,,,1.4,,,1.9,26,13,
